駅名,乗降客数,路線名,事業者名,lat,lon,都道府県
都立家政,16356.0,新宿線,西武鉄道,35.722331,139.644604,東京都
野方,21546.0,新宿線,西武鉄道,35.71972,139.653048,東京都
金町,91280.0,常磐線,東日本旅客鉄道,35.769525,139.870277,東京都
銀座,188770.0,2号線日比谷線,東京地下鉄,35.672117,139.764569,東京都
銀座一丁目,36285.0,8号線有楽町線,東京地下鉄,35.67456,139.766679,東京都
錦糸町,175180.0,総武線,東日本旅客鉄道,35.696421,139.813952,東京都
長原,13971.0,池上線,東急電鉄,35.602262,139.697799,東京都
長沼,3570.0,京王線,京王電鉄,35.642807,139.366214,東京都
門前仲町,92275.0,5号線東西線,東京地下鉄,35.672395,139.795122,東京都
雑司が谷,17807.0,13号線副都心線,東京地下鉄,35.720444,139.714849,東京都
雑色,27889.0,本線,京浜急行電鉄,35.549684,139.714967,東京都
雪が谷大塚,20611.0,池上線,東急電鉄,35.591985,139.680996,東京都
青井,12000.0,常磐新線,首都圏新都市鉄道,35.772662,139.820393,東京都
青山一丁目,81621.0,3号線銀座線,東京地下鉄,35.67281,139.724017,東京都
青梅,10382.0,青梅線,東日本旅客鉄道,35.79029,139.258383,東京都
青梅街道,7528.0,多摩湖線,西武鉄道,35.730605,139.476562,東京都
青海,1707.0,東京臨海新交通臨海線,ゆりかもめ,35.6249,139.781514,東京都
青物横丁,30748.0,本線,京浜急行電鉄,35.609345,139.742989,東京都
青砥,43907.0,本線,京成電鉄,35.745722,139.856168,東京都
面影橋,822.0,荒川線,東京都,35.712945,139.714293,東京都
飛田給,22229.0,京王線,京王電鉄,35.660196,139.523311,東京都
飛鳥山,993.0,荒川線,東京都,35.750441,139.737623,東京都
飯田橋,138426.0,5号線東西線,東京地下鉄,35.702113,139.744847,東京都
馬喰横山,96253.0,10号線新宿線,東京都,35.692058,139.782733,東京都
馬喰町,43620.0,総武線,東日本旅客鉄道,35.693392,139.782483,東京都
馬込,23527.0,1号線浅草線,東京都,35.596485,139.711771,東京都
駒場東大前,31775.0,井の頭線,京王電鉄,35.658645,139.684493,東京都
駒沢大学,67494.0,田園都市線,東急電鉄,35.633508,139.661801,東京都
駒込,81812.0,山手線,東日本旅客鉄道,35.73647,139.746872,東京都
高井戸,35673.0,井の頭線,京王電鉄,35.683306,139.615025,東京都
高円寺,86592.0,中央線,東日本旅客鉄道,35.705333,139.649826,東京都
高尾,47870.0,中央線,東日本旅客鉄道,35.642194,139.281776,東京都
高尾山,1345.0,高尾鋼索線,高尾登山電鉄,35.631084,139.256084,東京都
高尾山口,9492.0,高尾線,京王電鉄,35.632223,139.269945,東京都
高島平,25179.0,6号線三田線,東京都,35.788824,139.661321,東京都
高幡不動,47988.0,京王線,京王電鉄,35.661834,139.414321,東京都
高松,7024.0,多摩都市モノレール線,多摩都市モノレール,35.709884,139.413207,東京都
高田馬場,334530.0,山手線,東日本旅客鉄道,35.713333,139.704294,東京都
高輪台,12110.0,1号線浅草線,東京都,35.631342,139.730073,東京都
高野,5917.0,日暮里・舎人ライナー,東京都,35.768495,139.770675,東京都
鬼子母神前,2564.0,荒川線,東京都,35.720166,139.714849,東京都
鮫洲,9348.0,本線,京浜急行電鉄,35.605123,139.742546,東京都
鵜の木,17709.0,東急多摩川線,東急電鉄,35.575347,139.68083,東京都
鶯谷,42224.0,東北線,東日本旅客鉄道,35.720306,139.779092,東京都
鶴川,57563.0,小田原線,小田急電鉄,35.583121,139.480929,東京都
鷹の台,23092.0,国分寺線,西武鉄道,35.723411,139.461063,東京都
鷺ノ宮,28112.0,新宿線,西武鉄道,35.722608,139.638938,東京都
麹町,49806.0,8号線有楽町線,東京地下鉄,35.684781,139.737459,東京都
麻布十番,39125.0,7号線南北線,東京地下鉄,35.656007,139.737072,東京都
